# az(deg), al(deg), L(cd) 
-220.06, 49.42, 509.60
-220.99, 50.12, 635.27
-220.97, 48.71, 454.03
-221.90, 49.40, 737.42
-221.95, 50.81, 629.71
-222.93, 51.49, 617.30
-222.85, 50.09, 585.65
-223.84, 50.77, 549.70
-221.85, 48.00, 515.93
-222.78, 48.69, 633.45
-222.71, 47.28, 536.13
-223.64, 47.96, 564.84
-223.73, 49.36, 569.74
-224.71, 50.03, 642.88
-224.59, 48.63, 602.46
-225.57, 49.29, 566.15
-223.95, 52.17, 682.35
-225.00, 52.83, 652.16
-224.85, 51.43, 1943.33
-225.90, 52.09, 702.57
-226.08, 53.49, 609.44
-227.20, 54.13, 655.40
-226.97, 52.74, 601.56
-228.08, 53.37, 581.71
-225.72, 50.69, 651.25
-226.76, 51.34, 1508.96
-226.57, 49.95, 875.85
-227.60, 50.59, 694.40
-227.83, 51.98, 541.86
-228.94, 52.61, 545.56
-228.67, 51.22, 556.78
-229.77, 51.84, 534.01
-223.55, 46.56, 545.72
-224.47, 47.23, 582.49
-224.36, 45.83, 655.84
-225.29, 46.49, 687.06
-225.42, 47.89, 702.13
-226.39, 48.55, 653.89
-226.23, 47.15, 802.66
-227.20, 47.80, 665.78
-225.16, 45.09, 527.49
-226.08, 45.75, 664.19
-225.94, 44.36, 545.54
-226.85, 45.01, 684.29
-227.02, 46.41, 752.53
-227.98, 47.05, 697.76
-227.79, 45.65, 648.46
-228.75, 46.29, 728.78
-227.39, 49.19, 705.94
-228.42, 49.83, 649.63
-228.19, 48.44, 639.88
-229.22, 49.07, 629.13
-229.48, 50.45, 683.40
-230.57, 51.06, 654.26
-230.27, 49.68, 638.24
-231.35, 50.29, 717.17
-228.97, 47.68, 617.12
-229.99, 48.30, 615.17
-229.73, 46.92, 634.88
-230.75, 47.53, 513.65
-231.04, 48.91, 529.00
-232.11, 49.51, 528.76
-231.78, 48.13, 456.60
-232.85, 48.72, 429.26
-228.36, 54.76, 641.21
-229.55, 55.38, 623.94
-229.23, 53.99, 524.23
-230.41, 54.60, 660.34
-230.78, 55.99, 655.56
-232.06, 56.58, 545.36
-231.64, 55.20, 635.35
-232.90, 55.78, 549.05
-230.08, 53.22, 691.55
-231.25, 53.82, 731.64
-230.90, 52.45, 608.73
-232.06, 53.04, 594.24
-232.46, 54.41, 548.01
-233.71, 54.98, 597.35
-233.26, 53.62, 521.31
-234.49, 54.18, 484.48
-233.37, 57.15, 595.28
-234.74, 57.71, 537.10
-234.20, 56.35, 541.16
-235.54, 56.90, 763.25
-236.14, 58.25, 540.89
-237.59, 58.77, 519.91
-236.93, 57.43, 530.90
-238.36, 57.94, 498.63
-234.99, 55.54, 530.63
-236.32, 56.08, 652.16
-235.76, 54.73, 538.01
-237.07, 55.27, 516.53
-237.69, 56.61, 507.67
-239.09, 57.11, 558.38
-238.42, 55.78, 458.69
-239.80, 56.28, 647.65
-231.69, 51.66, 600.79
-232.84, 52.25, 536.77
-232.46, 50.88, 598.69
-233.60, 51.46, 483.27
-234.03, 52.82, 1373.78
-235.25, 53.38, 616.57
-234.78, 52.02, 630.38
-235.98, 52.57, 542.84
-233.21, 50.09, 444.35
-234.34, 50.66, 503.74
-233.94, 49.30, 477.52
-235.06, 49.87, 508.54
-235.50, 51.22, 524.31
-236.70, 51.76, 480.18
-236.21, 50.42, 483.43
-237.39, 50.95, 734.52
-236.50, 53.92, 976.85
-237.79, 54.45, 488.52
-237.22, 53.11, 520.58
-238.50, 53.62, 496.01
-239.12, 54.95, 594.29
-240.49, 55.44, 503.96
-239.81, 54.12, 475.10
-241.15, 54.60, 482.35
-237.92, 52.29, 510.66
-239.18, 52.80, 528.86
-238.60, 51.47, 515.97
-239.84, 51.97, 568.16
-240.47, 53.29, 515.12
-241.79, 53.77, 514.08
-241.12, 52.46, 476.08
-242.42, 52.93, 575.62
-226.70, 43.61, 594.01
-227.61, 44.26, 693.57
-227.44, 42.87, 708.00
-228.35, 43.51, 823.45
-228.54, 44.90, 693.31
-229.50, 45.53, 644.92
-229.28, 44.14, 702.36
-230.23, 44.77, 635.23
-228.17, 42.12, 663.48
-229.07, 42.76, 668.38
-228.88, 41.37, 646.71
-229.78, 42.00, 735.16
-230.00, 43.38, 781.37
-230.94, 44.00, 619.13
-230.70, 42.62, 646.02
-231.64, 43.23, 651.57
-230.48, 46.15, 697.11
-231.48, 46.76, 440.77
-231.20, 45.38, 771.05
-232.20, 45.98, 561.15
-232.51, 47.35, 414.53
-233.57, 47.94, 471.65
-233.22, 46.57, 488.56
-234.27, 47.15, 490.66
-231.91, 44.61, 616.77
-232.90, 45.20, 520.80
-232.60, 43.83, 628.04
-233.59, 44.42, 596.71
-233.91, 45.79, 525.24
-234.95, 46.36, 558.61
